ADC-148
NDM-7
Klebsiella pneumoniae KpnE
qacL
dfrA5
ADC-162
MexG
VEB-5
SHV-42
Shigella flexneri acrA
Staphylococcus aureus murA with mutation conferring resistance to fosfomycin
ADC-76
floR
ORN-1
ACT-17
OKP-B-23
ANT(3'')-IIb
baeS
CTX-M-40
oqxA
ADC-89
ACT-45
TriC
CARB-16
OXA-855
Listeria monocytogenes mprF
OXA-126
OXA-827
OXA-120
SHV-2A
CMY-2
TolC
qacJ
Escherichia coli folP with mutation conferring resistance to sulfonamides
ACT-90
OXA-395
ADC-270
ADC-165
mcr-10.1
cpxA
ADC-116
PDC-36
QnrB19
ADC-303
AAC(3)-VIa
SHV-2
CTX-M-63
APH(3')-IIIa
kdpE
AAC(3)-IIb
MexA
Salmonella isangi gyrA conferring resistance to fluoroquinolones
ADC-269
OprJ
ANT(9)-Ia
DfrA36
ADC-263
aadA11
TEM-79
norB
dfrC
mexN
OXA-51
OXA-72
OXA-1124
OXA-235
QnrD1
MIR-21
tet(59)
mepA
PER-7
TEM-135
OXY-2-2
catB3
EC-8
vanY gene in vanM cluster
CKO-1
Acinetobacter baumannii AbaQ
OXA-64
PmpM
ADC-87
evgS
vanH gene in vanA cluster
ADC-100
CTX-M-8
cmlA5
ADC-30
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics
Enterobacter cloacae acrA
vanY gene in vanB cluster
MexI
SHV-142
ADC-342
ACT-15
CMY-34
CMY-180
OXA-819
CTX-M-15
AAC(3)-Ia
ADC-33
mphB
aadA3
LEN-2
mdsB
OpmD
TEM-39
Staphylococcus aureus GlpT with mutation conferring resistance to fosfomycin
APH(3')-VIb
dfrA25
FosA
cmlA4
MCR-9.1
arnA
OXA-9
CTX-M-3
ADC-275
Salmonella serovars gyrB conferring resistance to fluoroquinolones
KPC-3
PC1
Morganella morganii gyrB conferring resistance to fluoroquinolones
Salmonella enterica gyrA with mutation conferring resistance to triclosan
dfrA14
FOX-5
OpmB
ADC-18
OXA-113
FosA2
OXY-2-18
dfrA30
ADC-156
AAC(6')-Ic
AcrF
MdtK
tet(X4)
Escherichia coli emrE
EC-5
ADC-160
MCR-3.1
OXA-121
ADC-79
Staphylococcus aureus LmrS
CARB-3
KPC-4
ACT-141
QnrS1
vanG
ParR
ADC-167
CTX-M-9
OpmH
VIM-11
ADC-163
Escherichia coli ampC beta-lactamase
GES-11
CMY-190
basS
AAC(6')-Iaf
gadW
CARB-4
MexS
OKP-B-6
AAC(3)-IIg
AAC(2')-IIa
AAC(6')-Iy
adeN
Staphylococcus aureus FosB
aadA23
OXA-259
dfrA1
dfrA12
LptD
aadA5
SHV-32
mdtC
TEM-190
OXA-560
OXA-91
Klebsiella pneumoniae KpnF
OXA-531
OXA-90
cmlA9
mexM
msr(G)
dfrA16
tetR
OXA-94
AAC(6')-Ib7
NDM-1
SHV-202
aadT
ANT(3'')-IIa
OXA-2
qacEdelta1
abeM
lnuA
MuxA
lin
APH(3')-VIa
VIM-4
ADC-98
QnrB4
CMY-83
DHA-9
kdpD
CMY-82
SHV-77
CARB-50
PC1 beta-lactamase (blaZ)
EreA2
MIR-16
arlS
MexT
FosX
sul3
mdtM
OKP-B-1
OXA-705
mecR1
ANT(4')-Ia
Pseudomonas aeruginosa catB7
ErmC
tet(D)
OXA-530
SFO-1
OXA-317
LEN-16
vanW gene in vanG cluster
ACT-28
SHV-52
Staphylococcus aureus norA
SHV-5
OKP-B-17
ADC-11
OXA-104
norC
dfrA21
OXA-402
IMI-1
rmtF
dfrA17
leuO
QnrVC1
adeL
mdtG
catA1
OXA-10
OXY-2-12
salE
ADC-25
SHV-71
ACT-86
ADC-105
ADC-216
ADC-312
OKP-B-41
Klebsiella pneumoniae OmpK37
eptB
AAC(3)-IId
APH(3')-IIb
LEN-27
Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline
ADC-186
ADC-70
CTX-M-14
SHV-75
catB2
emrY
OXA-208
ADC-158
FosBx1
OXA-65
ADC-102
SHV-33
sul1
qacE
QnrA1
GES-5
MexK
mdsA
ADC-91
SHV-26
Klebsiella pneumoniae ramR mutants
tet(A)
SHV-38
acrD
AAC(3)-IIe
FosA3
CMY-153
tet(C)
mdtH
tet(41)
SHV-187
TEM-2
arr-3
APH(3')-Ia
EC-14
ACT-52
ErmA
VIM-2
AAC(6')-Ib9
ADC-92
bacA
OXA-23
OKP-A-5
tet(B)
SHV-36
OXA-313
OKP-B-2
Escherichia coli acrA
marA
OXY-5-10
OXA-525
dfrA27
YojI
Escherichia coli UhpT with mutation conferring resistance to fosfomycin
Staphylococcus aureus gyrA conferring resistance to fluoroquinolones
sdrM
adeH
MIR-3
PER-10
ADC-96
nalC
YajC
ADC-201
TEM-33
mecI
aadA16
ADC-95
OXA-500
baeR
PmrF
dfrA8
catII from Escherichia coli K-12
dfrA26
mdtE
adeI
OXA-1
Acinetobacter baumannii AmvA
mdtP
ADC-93
Escherichia coli gyrA conferring resistance to fluoroquinolones
tet(M)
PAC-1
fusB
mdtA
ACT-145
OXA-100
ADC-244
MuxB
ADC-74
SHV-27
OXA-528
ADC-169
cmlA1
MuxC
qnrE1
rmtB
Klebsiella pneumoniae KpnH
CTX-M-55
PDC-3
EreA
OXY-1-4
QnrS4
MIR-11
OXA-529
sepA
AAC(6')-Ib'
fusD
vanT gene in vanG cluster
MIR-9
Staphylococcus aureus fusA with mutation conferring resistance to fusidic acid
CMY-6
VIM-1
Klebsiella pneumoniae KpnG
cprR
SAT-4
mexY
OXA-847
OXA-506
ACT-44
linG
AAC(6')-Ib-cr5
OXA-82
OXA-374
AAC(6')-IIc
CMY-181
SHV-76
SHV-44
MCR-8.1
SED-2
emrB
aadA17
vanY gene in vanA cluster
AAC(6')-Ian
Staphylococcus aureus gyrB conferring resistance to aminocoumarin
QnrB35
FOX-3
MexH
FosA8
OXA-387
SHV-12
OXA-78
catB11
MIR-24
dfrA15
Acinetobacter baumannii AbaF
msbA
OXA-24
VIM-6
OXA-486
CMY-109
MCR-1.1
APH(3')-Ib
qacG
SHV-211
SRT-3
dfr22
AAC(6')-Ib
QnrB6
OprM
OXA-232
Pseudomonas aeruginosa CpxR
SRT-4
ADC-94
mepR
mecA
OXA-48
QnrB9
Erm(42)
EC-19
aadA2
Escherichia coli nfsA mutations conferring resistance to nitrofurantoin
SHV-1
ADC-242
adeG
SHV-60
QnrB76
aad(6)
OXA-340
basR
SHV-110
APH(6)-Id
QnrB20
SHV-108
PDC-19a
MexF
dfrA7
msrE
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin
AAC(6')-Ib4
ADC-350
SRT-2
mexP
AAC(6')-Ib3
QnrB28
adeF
Escherichia coli mdfA
ADC-238
mdtB
ACT-3
MCR-3.4
dfrA19
OXA-106
aadA27
EC-13
bcr-1
SHV-11
adeR
armA
Staphylococcus aureus mupA conferring resistance to mupirocin
rsmA
ANT(2'')-Ia
CMH-15
emrR
MdtQ
mreA
SHV-31
SHV-171
SHV-30
Pseudomonas aeruginosa soxR
opmE
Pseudomonas aeruginosa emrE
ACT-157
acrB
emrA
VEB-1
ADC-5
TEM-214
OXA-314
adeC
SHV-207
QnrB38
MexC
CFE-1
SHV-28
AAC(6')-Ia
OprN
OKP-A-8
MIR-17
vanW gene in vanI cluster
aadA
ADC-212
dfrG
ADC-289
FosA7.5
SHV-119
OXA-857
mdtF
SHV-41
OXA-71
MexD
OXA-263
PDC-5
AAC(6')-Ie-APH(2'')-Ia bifunctional protein
AAC(6')-Iaa
PDC-1
QnrB1
ADC-101
ErmB
ParS
OXA-181
ADC-73
OXA-69
OXA-532
CRP
MexJ
AAC(3)-Ib
Type A NfxB
CTX-M-1
SHV-7
AcrS
TEM-30
ACT-166
nalD
TEM-1
NmcR
POM-1
KPC-82
OXA-312
PER-1
CMY-30
CMY-4
MexE
mgrA
CARB-49
Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones
MexB
OXA-58
Acinetobacter baumannii gyrA conferring resistance to fluoroquinolones
Escherichia coli fabI mutations conferring resistance to isoniazid and triclosan
sul2
LpsB
IMP-15
ADC-241
catB8
CrcB
fosA5
msrA
QnrS2
ArnT
LAP-2
ACT-74
OXA-523
OXA-297
ADC-103
ADC-99
LEN-17
ADC-106
ADC-52
OXA-717
SHV-120
ADC-84
TriA
oqxB
ramA
EC-18
AAC(3)-IIc
APH(4)-Ia
OXA-407
ADC-140
ACT-116
Escherichia coli parC conferring resistance to fluoroquinolones
aadA7
OKP-B-8
ACT-110
BRP(MBL)
SAT-2
Escherichia coli soxR with mutation conferring antibiotic resistance
ADC-223
OXY-1-1
"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime"
QnrB27
OXA-510
ADC-107
KPC-2
tet(45)
NDM-5
H-NS
adeJ
MexV
Escherichia coli soxS with mutation conferring antibiotic resistance
FosA6
OXA-741
Staphylococcus aureus parC conferring resistance to fluoroquinolones
adeA
dfrA18
eptA
OXA-689
MIR-5
mphA
SHV-168
Salmonella isangi gyrB conferring resistance to fluoroquinolones
cprS
DfrB9
ADC-56
Acinetobacter baumannii parC conferring resistance to fluoroquinolones
ACT-24
ADC-258
ugd
AcrE
CMY-42
QnrB30
mdtO
OmpA
OKP-B-7
APH(3'')-Ib
mexQ
ADC-185
ADC-154
cmlA6
MexR
golS
SHV-80
evgA
tet(K)
CMY-48
NmcA
ADC-271
OXA-162
aadA24
TEM-12
ADC-240
OXA-66
ADC-80
ACT-189
AAC(6')-Ib10
ACC-1a
sdiA
CMY-86
norA
adeK
Escherichia coli gyrA with mutation conferring resistance to triclosan
ADC-191
ADC-176
EC-15
rmtH
LEN-13
ADC-104
ACT-143
ACT-56
OXA-98
CTX-M-65
TriB
PDC-24
AAC(6')-Ib8
OXY-2-6
DHA-1
arr-2
AAC(3)-IVa
OXA-68
tet(39)
ADC-290
Mrx
MexZ
Staphylococcus aureus ileS with mutation conferring resistance to mupirocin
QepA4
ADC-247
ADC-302
ADC-88
QnrB10
fusC
Escherichia coli cyaA with mutation conferring resistance to fosfomycin
arlR
mphE
mphC
OXA-488
CMY-66
mdtN
abeS
ADC-249
cmx
gadX
Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance
Streptococcus agalactiae mprF
MexW
lnuG
OXA-1223
emrK
ACT-46
FosA7
CTX-M-27
Salmonella enterica gyrA conferring resistance to fluoroquinolones
ADC-90
LEN-9
Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
phosphoethanolamine--lipid A transferase MCR-9.1
Multidrug resistance protein MdtF
multidrug efflux RND transporter permease subunit OqxB15
ABC-F type ribosomal protection protein Msr(A)
Putative carboxypeptidase YodJ
multidrug efflux RND transporter permease subunit OqxB7
Multidrug export protein AcrE
Translational regulator CsrA
Carbon storage regulator
Streptomycin 3''-adenylyltransferase
Beta-lactamase OXA-133
Sensor protein KdpD
multidrug efflux RND transporter permease subunit OqxB17
DNA-binding protein H-NS
Multidrug transporter EmrE
KDP operon transcriptional regulatory protein KdpE
Outer membrane protein A
"Tetracycline resistance protein, class C"
Extended-spectrum beta-lactamase PER-1
Outer membrane protein TolC
Multidrug resistance protein EbrA
Spermidine export protein MdtJ
N-acetyl-alpha-D-glucosaminyl L-malate synthase
phosphoethanolamine--lipid A transferase MCR-3.1
Carbapenem-hydrolyzing beta-lactamase KPC
Phosphatidylglycerol lysyltransferase
Efflux pump periplasmic linker BepF
Beta-lactamase CTX-M-97
Transcriptional regulatory protein CpxR
Glycerol-3-phosphate transporter
Signal transduction histidine-protein kinase ArlS
hypothetical protein
Transcriptional repressor MprA
Phosphoethanolamine transferase EptA
Multidrug resistance protein MdtM
Beta-lactamase OXA-18
rRNA adenine N-6-methyltransferase
2''-aminoglycoside nucleotidyltransferase
Hygromycin-B 4-O-kinase
"Peptidoglycan D,D-transpeptidase FtsI"
tetracycline resistance ribosomal protection protein Tet(M)
