Old,New
Trimethroprim,Trimethoprim
Amikazin,Amikacin
Pip-Taz,Piperacillin-Tazobactam
Ceftazidim,Ceftazidime
Nalidixin,Nalidixic
Ceftolozan-Tazobacta,Ceftolozane-tazobactam
Fosfomycin-Etest,Fosfomycin iv
Ceftazidim-Avibacta,Ceftazidime-avibactam
Trimetophrim,Trimethoprim
Amoxicillin-Clavulansäure,Amoxicillin-clavulanic acid
Cefpodoxim,Cefpodoxime
Cefotaxim,Cefotaxime
Cefuroxim,Cefuroxime
Cefepim,Cefepime
Trimethoprim-Sulfam,Trimethoprim-sulfamethoxazole
Amoxicillin-Clavulan,Amoxicillin-clavulanic acid
Ceftazidime-Avibacta,Ceftazidime-avibactam
Ceftriaxon,Ceftriaxone
Amoxicillin-Clavulan,Amoxicillin-clavulanic acid
