arlS
OXA-94
SHV-5
Escherichia coli nfsA mutations conferring resistance to nitrofurantoin
LEN-9
OXA-69
OXY-2-12
Klebsiella pneumoniae KpnH
cmlA1
adeI
vanW gene in vanI cluster
CTX-M-55
OXA-560
mdtO
ADC-167
qacEdelta1
DfrB9
CTX-M-65
NDM-5
tet(K)
OXA-71
ADC-342
CMY-42
OXA-317
AAC(3)-Ia
dfr22
adeN
Staphylococcus aureus GlpT with mutation conferring resistance to fosfomycin
bacA
tet(B)
aadA5
golS
Staphylococcus aureus ileS with mutation conferring resistance to mupirocin
GES-5
SHV-41
ACT-3
marA
"Escherichia coli AcrAB-TolC with AcrR mutation conferring resistance to ciprofloxacin, tetracycline, and ceftazidime"
aadA23
AAC(6')-Ib10
vanY gene in vanA cluster
CARB-16
SHV-168
mexQ
CTX-M-3
norC
MIR-17
OXA-2
vanH gene in vanA cluster
AcrF
SHV-171
QnrB35
QnrS2
AAC(6')-Ian
CMY-2
OXA-98
SHV-120
SHV-11
mphE
PDC-3
tet(59)
MdtQ
MexC
mepA
VEB-5
ADC-104
OXA-1223
ADC-263
ADC-33
LEN-13
ADC-56
adeH
QnrVC1
OpmB
SHV-30
KPC-3
Enterobacter cloacae acrA
CMY-190
ADC-148
AAC(6')-Ib7
lnuA
QnrS1
catB3
norB
ADC-87
sul1
mdsB
PER-1
ErmC
QnrB9
DHA-1
ADC-191
MexZ
PAC-1
OXA-58
OXA-68
ACC-1a
ACT-143
ADC-95
OXA-340
OXA-106
OKP-B-41
EC-8
OXA-24
AAC(3)-Ib
SRT-2
Escherichia coli soxS with mutation conferring antibiotic resistance
ADC-275
adeR
EC-14
ADC-185
CARB-4
mecR1
OXA-689
Escherichia coli ampC beta-lactamase
EC-5
OXY-2-6
OXA-525
OKP-B-2
Escherichia coli mdfA
SHV-60
OXA-126
baeR
ADC-223
MexA
dfrA14
SHV-26
QnrB30
CMY-30
ADC-312
adeG
ACT-56
msrE
Acinetobacter baumannii AbaF
APH(3'')-Ib
ADC-216
FosA2
FosA3
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics
AAC(3)-IVa
Escherichia coli cyaA with mutation conferring resistance to fosfomycin
OXA-162
cmx
OKP-B-7
VIM-1
vanG
abeS
ADC-105
SFO-1
SHV-80
ADC-270
OXA-528
ADC-158
qacE
CMY-34
mexM
PC1 beta-lactamase (blaZ)
IMI-1
ADC-271
dfrA1
ADC-106
cmlA9
OXA-500
OKP-A-8
ADC-94
MCR-9.1
MCR-3.1
Acinetobacter baumannii AbaQ
OXY-2-2
Staphylococcus aureus murA with mutation conferring resistance to fosfomycin
evgS
AAC(6')-Ic
mecI
TolC
AAC(6')-Iy
ADC-89
OXA-208
ArnT
sepA
arlR
AAC(6')-Ib8
TEM-2
mreA
mdtB
MexV
OXA-387
MuxA
lnuG
EC-15
cmlA4
ADC-101
NDM-1
FosA8
ADC-84
FOX-3
CMY-109
Staphylococcus aureus parC conferring resistance to fluoroquinolones
sul3
MuxB
APH(3')-IIb
mdtP
mphC
ADC-93
ADC-240
ADC-154
OXA-235
ACT-86
tet(45)
tet(A)
dfrA17
ACT-145
gadW
CMY-6
ADC-241
Staphylococcus aureus fusA with mutation conferring resistance to fusidic acid
ADC-102
ACT-28
rmtF
Escherichia coli emrE
arr-3
VIM-4
Pseudomonas aeruginosa catB7
SHV-28
ADC-80
tet(X4)
ErmB
ACT-157
ADC-169
OXA-312
VIM-2
SHV-71
mdtN
dfrA18
linG
ParS
ADC-52
OXA-486
adeJ
AAC(6')-Iaf
OKP-B-8
PmpM
SHV-142
aadA11
MIR-24
qacG
ACT-17
floR
Klebsiella pneumoniae ramR mutants
CMY-153
mexN
Salmonella enterica gyrA conferring resistance to fluoroquinolones
catA1
Type A NfxB
QnrB76
ADC-91
PmrF
MIR-3
TEM-30
ADC-162
dfrA19
adeL
SHV-108
OXY-2-18
rmtB
LEN-16
MexS
arr-2
FosA7
ADC-11
OXA-65
OXY-5-10
MexT
dfrA21
CTX-M-63
FosA6
CMY-82
dfrA27
qacL
AAC(3)-IIe
OXA-72
rmtH
OXA-827
emrY
YajC
sdiA
MexR
CARB-3
ADC-249
QnrB20
oqxB
SHV-187
LptD
CTX-M-14
MexF
OXY-1-1
SAT-4
MexK
OKP-B-17
mdsA
OXA-530
salE
YojI
ADC-238
TEM-39
oqxA
emrR
aad(6)
MuxC
AAC(6')-Ib9
fusB
CTX-M-1
bcr-1
KPC-82
aadT
OpmH
AAC(6')-Ib'
dfrC
SHV-202
mdtH
MCR-1.1
ADC-98
OXA-51
ADC-244
Escherichia coli fabI mutations conferring resistance to isoniazid and triclosan
AAC(3)-IIb
ADC-350
msbA
catII from Escherichia coli K-12
VIM-11
POM-1
AAC(3)-IIg
ANT(3'')-IIb
Pseudomonas aeruginosa soxR
MexG
catB11
PER-7
Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline
ADC-186
OKP-B-1
OXA-120
MexE
Acinetobacter baumannii AmvA
TriB
adeA
ANT(9)-Ia
ADC-289
opmE
AAC(6')-Ib
QnrB6
APH(3')-Ia
sul2
MexW
adeF
baeS
Escherichia coli folP with mutation conferring resistance to sulfonamides
IMP-15
eptA
OXA-1124
vanT gene in vanG cluster
Acinetobacter baumannii parC conferring resistance to fluoroquinolones
aadA17
MdtK
Staphylococcus aureus mupA conferring resistance to mupirocin
OXA-705
CTX-M-8
Escherichia coli soxR with mutation conferring antibiotic resistance
OXA-66
aadA16
CMY-48
CRP
MexB
ADC-303
Morganella morganii gyrB conferring resistance to fluoroquinolones
ADC-163
AAC(2')-IIa
SHV-44
OmpA
armA
CMY-180
OXA-857
PDC-24
ADC-76
PER-10
AAC(6')-IIc
Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones
SHV-1
Shigella flexneri acrA
Staphylococcus aureus FosB
ADC-290
mdtF
OKP-B-23
OXA-314
SED-2
OXA-9
SHV-207
APH(3')-VIa
CARB-49
ACT-189
AAC(6')-Ib4
msr(G)
OXA-100
leuO
Staphylococcus aureus LmrS
AAC(6')-Ib3
OXA-488
MCR-3.4
OprJ
OXA-855
Escherichia coli gyrA conferring resistance to fluoroquinolones
ADC-25
emrA
OXA-48
SHV-2
ANT(2'')-Ia
adeC
mgrA
SHV-12
MexI
aadA2
catB2
MexJ
Staphylococcus aureus norA
TEM-135
ORN-1
acrB
vanY gene in vanB cluster
dfrA8
TriC
cpxA
MIR-9
ADC-140
ADC-269
ADC-79
MCR-8.1
OXA-181
OXA-78
QepA4
ParR
ACT-90
CMY-181
FosA7.5
cmlA6
OXA-82
SHV-7
ADC-156
TEM-214
OXA-64
Acinetobacter baumannii gyrA conferring resistance to fluoroquinolones
AAC(3)-IId
gadX
SHV-2A
SHV-211
LEN-27
ADC-107
mphA
aadA3
ADC-90
SHV-36
Salmonella isangi gyrA conferring resistance to fluoroquinolones
Klebsiella pneumoniae KpnF
SRT-4
dfrA26
dfrA12
OXA-90
OXA-847
OXA-402
basS
MIR-5
ACT-46
dfrA7
SHV-52
fusD
OXA-510
NmcR
OprM
emrK
ADC-5
SHV-33
kdpE
Salmonella serovars gyrB conferring resistance to fluoroquinolones
ADC-99
SHV-38
mdtM
CTX-M-15
mcr-10.1
OXA-395
APH(3')-Ib
AAC(6')-Ie-APH(2'')-Ia bifunctional protein
arnA
ADC-247
tet(41)
norA
mdtC
AAC(6')-Ib-cr5
mexP
qnrE1
Klebsiella pneumoniae KpnE
OXA-717
PDC-36
OXA-506
QnrB10
PDC-1
CKO-1
MexD
ADC-165
dfrA30
rsmA
BRP(MBL)
H-NS
APH(3')-VIb
cmlA5
TEM-33
EreA
OXA-91
MIR-21
kdpD
Escherichia coli UhpT with mutation conferring resistance to fosfomycin
MIR-16
aadA
AAC(6')-Iaa
ADC-88
SHV-75
Staphylococcus aureus gyrA conferring resistance to fluoroquinolones
Salmonella enterica gyrA with mutation conferring resistance to triclosan
EreA2
ADC-116
DHA-9
TEM-190
ADC-302
ADC-201
QnrA1
QnrS4
SAT-2
FosBx1
CARB-50
EC-19
adeK
DfrA36
ANT(3'')-IIa
mphB
QnrB1
SHV-42
dfrA5
APH(4)-Ia
OXA-407
mepR
vanW gene in vanG cluster
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin
FosX
CMH-15
AAC(6')-Ia
CMY-66
Staphylococcus aureus gyrB conferring resistance to aminocoumarin
TEM-79
SHV-77
tet(M)
Klebsiella pneumoniae OmpK37
Pseudomonas aeruginosa emrE
mecA
SRT-3
TEM-1
AAC(3)-IIc
ADC-18
ACT-116
nalD
OXA-313
ACT-74
sdrM
OprN
LAP-2
abeM
ADC-74
ACT-52
ADC-100
ACT-44
Escherichia coli gyrA with mutation conferring resistance to triclosan
ACT-24
EC-18
catB8
Erm(42)
VEB-1
QnrD1
cprS
Salmonella isangi gyrB conferring resistance to fluoroquinolones
dfrA15
FosA
APH(3')-IIIa
emrB
ramA
OXA-297
dfrG
PC1
nalC
LpsB
ACT-110
cprR
APH(6)-Id
Mrx
QnrB4
ErmA
aadA27
KPC-4
CTX-M-40
OXA-23
OXA-232
aadA7
CTX-M-27
dfrA16
CMY-83
PDC-19a
OXA-532
CFE-1
SHV-31
Pseudomonas aeruginosa CpxR
lin
OpmD
CMY-86
CMY-4
SHV-27
CTX-M-9
MexH
Escherichia coli parC conferring resistance to fluoroquinolones
mexY
SHV-119
QnrB28
QnrB19
TEM-12
ACT-15
ADC-103
GES-11
mdtA
dfrA25
QnrB27
SHV-110
OXA-104
evgA
ugd
eptB
OXA-259
ANT(4')-Ia
QnrB38
ADC-176
qacJ
KPC-2
ADC-70
Streptococcus agalactiae mprF
LEN-2
Listeria monocytogenes mprF
OXY-1-4
TriA
ADC-30
PDC-5
Klebsiella pneumoniae acrR with mutation conferring multidrug antibiotic resistance
ACT-166
OXA-529
tet(D)
tetR
OXA-523
VIM-6
AcrS
OXA-113
OXA-374
NDM-7
OXA-1
vanY gene in vanM cluster
ADC-96
tet(39)
EC-13
fusC
ACT-141
FOX-5
ADC-92
OXA-121
tet(C)
MIR-11
ACT-45
SHV-76
OXA-819
SHV-32
ADC-212
OKP-B-6
OXA-531
AAC(3)-VIa
msrA
ADC-242
LEN-17
Klebsiella pneumoniae KpnG
aadA24
NmcA
basR
OKP-A-5
OXA-263
acrD
AcrE
ADC-73
OXA-10
ADC-160
OXA-741
ADC-258
fosA5
CrcB
mdtG
Escherichia coli acrA
mdtE
Metallo-beta-lactamase L1 type 3
DNA gyrase subunit B
Response regulator MprA
Beta-lactamase Toho-1
UDP-glucose 6-dehydrogenase
Elongation factor Tu 2
multidrug efflux RND transporter permease subunit OqxB3
Multidrug resistance operon repressor
KDP operon transcriptional regulatory protein KdpE
Multidrug resistance protein MdtN
Beta-lactamase OXA-2
Beta-lactamase OXA-1
Inner membrane transport protein YdhP
Outer membrane protein TolC
chloramphenicol efflux MFS transporter CmlA6
Extended-spectrum beta-lactamase PER-1
Signal transduction histidine-protein kinase BaeS
Multidrug efflux pump subunit AcrA
ABC-F type ribosomal protection protein Msr(A)
Putative carboxypeptidase YodJ
Inner membrane transport protein YdhC
Efflux pump periplasmic linker BepF
Hexose-6-phosphate:phosphate antiporter
Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
putative multidrug resistance protein EmrK
Transcriptional repressor MprA
Multidrug resistance protein MdtB
Multidrug resistance protein MdtF
